variant_id,title,sku,price,available
42663557595218,Mocha Moment - Default Title,Bundle-MochaMoment,17.0,True
42663555891282,Berry Bold - Default Title,Bundle-BerryBold,17.0,True
42663554973778,Pretty Flushed - Default Title,Bundle-PrettyFlushed,17.0,True
42663553531986,Mochaccino Hour - Default Title,Bundle-MochaccinoHour,17.0,True
42663551729746,Muted Rose - Default Title,Bundle-MutedRose,17.0,True
42663550484562,Rose Cloud - Default Title,Bundle-RoseCloud,17.0,True
42663543046226,Soft Launch - Default Title,Bundle-SoftLaunch,17.0,True
42663542521938,Espresso Yourself - Default Title,Bundle-EspressoYourself,24.0,True
42663541407826,On Cloud Nude - Default Title,Bundle-OnCloudNude,24.0,True
42663541112914,Blushed Out - Default Title,Bundle-BlushedOut,24.0,True
42648339185746,Cloud Whip Lip Liner Collection - Default Title,Bundle-CloudWhipLipLinerCollection,64.0,True
42648329846866,Marmont Lane - Default Title,CloudWhipLipLiner-MarmontLane,9.0,True
42648325587026,Just Perfect - Default Title,CloudWhipLipLiner-JustPerfect,9.0,True
42648323424338,Undressed - Default Title,CloudWhipLipLiner-Undressed,9.0,True
42648321785938,No Notes - Default Title,CloudWhipLipLiner-NoNotes,9.0,True
42648319819858,Mochaccino - Default Title,CloudWhipLipLiner-Mochaccino,9.0,True
42648313987154,Iced Espresso - Default Title,CloudWhipLipLiner-IcedEspresso,9.0,True
42648310054994,Honeymoon Phase - Default Title,CloudWhipLipLiner-HoneymoonPhase,9.0,True
42646733946962,Beige Flag - Default Title,CloudWhipLipLiner-BeigeFlag,9.0,True
42439102857298,Sparkling Peach - Default Title,Bundle-SparklingPeach,30.0,True
42439102267474,Peachy Perfection - Default Title,Bundle-PeachyPerfection,30.0,True
42317382484050,Love That For Me - Default Title,Bundle-LoveThatForMe,79.0,True
42170079314002,All Eyes On Me - Default Title,Bundle-AllEyesOnMe,28.0,True
42170032128082,Coconut Cream and Soda - Default Title,Kit-CoconutCreamandSoda,18.0,True
41239454941266,Chrome Dreams - Default Title,Bundle-ChromeDreams,24.0,True
41239443505234,Out of the Blue - Default Title,Bundle-OutoftheBlue,18.0,False
41233134551122,Lips Don’t Lie - Default Title,Bundle-LipsDontLie,18.0,False
40672180600914,One Kiss - Default Title,UltraGlossyLip-OneKiss,9.0,True
39836138766418,Key Lime - Default Title,LipBalm-KeyLime_n,8.0,True
42389683077202,Lippie Heart Pouch - Default Title,Accessory-LippiePouchGWP,12.0,True
42389686059090,Creaseless Hair Clips - Default Title,Accessory-HairClipsGWP,12.0,True
42633851764818,Fall Mystery Box - Default Title,Bundle-Fallmysterybundle,49.0,True
41239445864530,Perfect 4 U - Default Title,Bundle-Perfect4U,24.0,True
39600351936594,Pore Real Cleanser - Default Title,FoamingCleanser-PoreReal,15.0,True
42459307573330,Jelly Glow Collection - Default Title,Bundle-JellyGlowCollection,54.0,True
42459306098770,Berry Fresh - Default Title,Bundle-BerryFresh,26.0,True
42459304689746,Juicy Glow - Default Title,Bundle-JuicyGlow,26.0,True
42459281686610,Silicone Jelly Wand - Default Title,Brush-SiliconeJellyWand,6.0,True
42459280736338,Strawberry Glaze - Default Title,LipandCheekJelly-StrawberryGlaze,10.0,True
42459279261778,Peachy Pop - Default Title,LipandCheekJelly-PeachyPop,10.0,True
42459278639186,Cherry Jelly - Default Title,LipandCheekJelly-CherryJelly,10.0,True
42459276804178,Bubblegum Bestie - Default Title,LipandCheekJelly-BubblegumBestie,10.0,True
42459270676562,Blueberry Pie - Default Title,LipandCheekJelly-BlueberryPie,10.0,True
42459281653842,Watermelon Gummy - Default Title,LipandCheekJelly-WatermelonGummy,10.0,True
39820104007762,Such A Flirt - Default Title,Vault-SuchAFlirt,29.0,True
40231741063250,Aurora Struck - Default Title,EyePalette-AuroraStruck,35.0,False
42389524873298,Heart Compact Mirror - Default Title,HeartMirror-ColourPop,12.0,True
42187556421714,Mistletoe Kisses - Default Title,Bundle-MistletoeKisses,19.0,True
42459592589394,Infinite Possibilities - Default Title,Bundle-InfinitePossibilities,108.0,True
40899088547922,Pokémon x ColourPop Collection - Default Title,Bundle-PokemonxColourPopCollection,159.0,False
40899063414866,Flamethrower - Default Title,SSShadow-Flamethrower,9.0,False
40899046342738,Transform - Default Title,PHLipstick-Transform,12.0,False
40899040215122,Thunderbolt - Default Title,PHLipstick-Thunderbolt,12.0,False
40889737510994,Pallet Town - Default Title,EyePalette-PalletTown,30.0,False
42459502280786,Sylveon - Default Title,GlitterallyObsessed-Sylveon,12.0,False
42459571060818,Touch of Sparkle - Default Title,Bundle-TouchofSparkle,29.0,False
42459557658706,Daybreak and Moonlight - Default Title,Bundle-DaybreakandMoonlight,32.0,True
40899043393618,Sing - Default Title,PHLipstick-Sing,12.0,False
42459329953874,Leafeon - Default Title,BFFLiner-Leafeon,11.0,True
42459326578770,Glaceon - Default Title,BFFLiner-Glaceon,11.0,True
42459323203666,Eeveelution - Default Title,EyePalette-Eeveelution,24.0,True
42459509162066,Eevee Headband - Default Title,Headband-Eevee,10.0,True
42459507163218,Umbreon - Default Title,GlossyBalm-Umbreon,12.0,True
42459506409554,Espeon - Default Title,GlossyBalm-Espeon,12.0,True
42459504738386,Eevee - Default Title,GlossyBalm-Eevee,12.0,True
42459515715666,Vaporeon - Default Title,ShadowStix-Vaporeon,12.0,True
42459513847890,Jolteon - Default Title,ShadowStix-Jolteon,12.0,True
42459511193682,Flareon - Default Title,ShadowStix-Flareon,12.0,True
42459560083538,"Cinder, Surge, and Tide - Default Title",Bundle-CinderSurgeandTide,32.0,True
42459569750098,Glacial Forest - Default Title,Bundle-GlacialForest,19.0,True
42466502967378,Balm Besties - Default Title,Bundle-BalmBesties,27.0,True
42440334311506,Double Kiss - Default Title,Bundle-DoubleKiss,28.0,True
42440327659602,Rock Sensation - Default Title,Kit-RockSensation,16.0,True
42440326938706,Malibu Dreaming - Default Title,Kit-MalibuDreaming,16.0,True
42439263060050,Best of Both Worlds - Default Title,EyePalette-BestOfBothWorlds,26.0,True
42440341258322,Secret Superstar - Default Title,LipGlossKeychain-SecretSuperstar,12.0,True
42440335556690,A Girl Like Me - Default Title,Bundle-GirlLikeMe,26.0,True
42440335491154,Being Hannah - Default Title,Bundle-BeingHannah,26.0,True
42440335425618,Just An Ordinary Girl - Default Title,Bundle-OrdinaryGirl,48.0,True
42440335294546,Star on Stage - Default Title,Bundle-StarOnStage,60.0,True
42440334082130,Star Pout - Default Title,Bundle-StarPout,22.0,True
42440331034706,Hannah Montana X ColourPop Collection - Default Title,Bundle-HannahMontanaXColourPopCollection,110.0,True
42440330608722,You’re a Star - Default Title,HairClips-YoureAStar,12.0,True
42440329658450,Stage Lights - Default Title,RollOnBodyGlitter-StageLights,14.0,True
42440328020050,Keeping It Real - Default Title,LipGlossKeychain-KeepingItReal,12.0,True
42440326185042,Double Life - Default Title,EyelinerAndStarStampDuo-DoubleLife,14.0,True
42433110114386,Holo Bestie - Default Title,PHLipBalm-HoloBestie,10.0,True
42433110048850,Pink Mood - Default Title,PHLipBalm-PinkMood,10.0,True
