product_id,title,handle,vendor,product_type,variant_id,variant_title,sku,price,available,inventory_quantity,url
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370348160,12.5,10883594,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370380928,13,10883595,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370413696,13.5,10883596,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370446464,14,10883597,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370479232,14.5,10883598,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370512000,15,10883599,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370544768,15.5,10883600,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370577536,16,10883601,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370610304,16.5,10883602,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370643072,17,10883603,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370675840,18,10883604,120.0,False,,https://kith.com/products/aakk5028
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343183488,3,98294104,200.0,False,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343216256,3.5,98294105,200.0,False,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343249024,4,98294106,200.0,False,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343281792,4.5,98293374,200.0,False,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343314560,5,98293375,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343347328,5.5,98293376,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343380096,6,98293377,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343412864,6.5,98293378,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343445632,7,98293379,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343478400,7.5,98293380,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343511168,8,98293381,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343543936,8.5,98293382,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343576704,9,98293383,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343609472,9.5,98293384,200.0,True,,https://kith.com/products/sall49215600
8286761025664,Salomon XT-6 GORE-TEX - Black / Icy Pink / Dawn Pink,sall49215600,Salomon,Low Top Sneakers,45144343642240,10,98293368,200.0,True,,https://kith.com/products/sall49215600
